Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"ALTS",38.620,38.210,"38.450 - 38.610",900,1000,4961,250,"2:43pm - <b>38.591</b>","ProShares Morningstar Alternati"
"BATS",30.37,30.36,"30.03 - 32.00",2200,3300,4119014,100,"3:52pm - <b>30.36</b>","BATS Global Markets, Inc. Commo"
"BEMO",25.25,25.21,"25.24 - 25.26",1700,5500,2804,1000,"3:35pm - <b>25.27</b>","Aptus Behavioral Momentum ETF"
"CEMB",52.120,50.800,"50.810 - 50.990",100,4000,4646,400,"10:23am - <b>50.985</b>","iShares Emerging Markets Corpor"
"CNDF",25.48,25.41,N/A,1500,1100,102,N/A,"4:00pm - <b>25.20</b>","iShares Edge MSCI Multifactor C"
"CNSF",24.9100,24.8500,"24.8401 - 24.8401",2500,2500,480,300,"11:16am - <b>24.8401</b>","iShares Edge MSCI Multifactor C"
"CNYA",25.68,25.63,"25.64 - 25.64",500,1100,1700,100,"1:59pm - <b>25.68</b>","iShares MSCI China A ETF"
"CSM",52.580,52.530,"52.540 - 52.753",3500,3200,13261,342,"3:49pm - <b>52.565</b>","ProShares Large Cap Core Plus"
"DDEZ",24.540,24.510,N/A,1000,500,100,N/A,"4:00pm - <b>24.895</b>","WisdomTree Dynamic Currency Hed"
"DDJP",24.1200,24.0900,N/A,1000,500,100,N/A,"4:00pm - <b>24.8099</b>","WisdomTree Dynamic Currency Hed"
"DDLS",25.88,25.76,N/A,1000,4500,100,N/A,"4:00pm - <b>25.33</b>","WisdomTree Dynamic Currency Hed"
"DDWM",25.70,25.66,"25.69 - 25.87",1000,1000,11458,100,"12:56pm - <b>25.71</b>","WisdomTree Dynamic Currency Hed"
"DEFA",24.110,24.080,N/A,1000,500,100,N/A,"4:00pm - <b>24.437</b>","iShares Adaptive Currency Hedge"
"DEWJ",23.45,23.42,N/A,1000,500,100,N/A,"4:00pm - <b>23.15</b>","iShares Adaptive Currency Hedge"
"DEZU",23.06,23.03,N/A,1000,500,100,N/A,"4:00pm - <b>22.55</b>","iShares Adaptive Currency Hedge"
"DFND",22.71,22.65,N/A,2000,400,100,N/A,"4:00pm - <b>22.83</b>","Realty Shares DIVCON Dividend D"
"DVEM",27.03,26.99,"27.23 - 27.23",500,1000,269,200,"9:30am - <b>27.23</b>","WisdomTree Emerging Markets Div"
"DYB",24.75,24.70,N/A,3500,3200,600,500,"3:20pm - <b>24.74</b>","WisdomTree Dynamic Bearish U.S."
"DYLS",27.74,27.73,"27.73 - 27.79",6400,1800,8299,984,"3:43pm - <b>27.73</b>","WisdomTree Dynamic Long/Short U"
"EDEN",55.99,55.94,"55.99 - 56.19",800,900,1586,159,"11:45am - <b>56.19</b>","Ishares MSCI Denmark Capped ETF"
"EFNL",34.18,34.13,N/A,100,1100,323,100,"9:40am - <b>34.12</b>","Ishares MSCI Finland Capped ETF"
"ELKU",26.670,26.590,"26.572 - 26.682",1000,200,700,100,"1:59pm - <b>26.572</b>","Elkhorn FTSE RAFI U.S. Equity I"
"EMDV",49.76,49.49,N/A,100,200,264,100,"1:33pm - <b>49.50</b>","ProShares MSCI Emerging Markets"
"EMGF",38.1600,38.0000,N/A,100,100,100,N/A,"4:00pm - <b>38.8293</b>","iShares Edge MSCI Multifactor E"
"EMHY",50.610,50.430,"50.490 - 50.610",2600,800,3893,146,"3:21pm - <b>50.523</b>","iShares Emerging Markets High Y"
"EMIH",25.02,24.81,N/A,300,100,100,N/A,"4:00pm - <b>24.74</b>","Deutsche X-trackers Emerging Ma"
"EMSD",25.79,25.70,"25.71 - 25.77",3500,1000,846,100,"3:23pm - <b>25.71</b>","WisdomTree Strong Dollar Emergi"
"EMSH",78.88,78.03,N/A,100,200,100,N/A,"4:00pm - <b>78.20</b>","ProShares Short Term USD Emergi"
"EMTL",52.68,52.65,N/A,100,100,200,100,"9:53am - <b>52.55</b>","SPDR DoubleLine Emerging Market"
"ENOR",20.6700,20.5900,"20.5000 - 20.6848",100,1700,3470,200,"3:08pm - <b>20.6501</b>","Ishares MSCI Norway Capped ETF"
"EPRF",25.31,25.30,"25.30 - 25.35",4900,200,14816,1400,"3:32pm - <b>25.35</b>","Elkhorn S&P High Quality Prefer"
"ERGF",24.94,24.89,N/A,1000,1100,100,N/A,"4:00pm - <b>25.15</b>","iShares Edge MSCI Multifactor E"
"EWGS",43.980,43.870,"44.023 - 44.023",600,600,328,227,"11:29am - <b>44.023</b>","Ishares MSCI Germany Small Cap "
"EWUS",36.05,35.83,"35.79 - 36.09",1000,200,3116,100,"3:36pm - <b>35.87</b>","Ishares MSCI United Kingdom Sma"
"EYLD",26.30,26.00,N/A,400,100,108,N/A,"4:00pm - <b>26.53</b>","Cambria ETF Trust Cambria Emerg"
"EZR",22.69,22.65,N/A,1000,500,100,N/A,"4:00pm - <b>23.13</b>","WisdomTree Europe Local Recover"
"EZU",34.20,34.19,"34.17 - 34.33",52300,21500,1388789,100,"3:51pm - <b>34.20</b>","iShares MSCI Eurozone ETF"
"FIBR",103.56,101.08,"101.15 - 101.25",100,3000,3999,100,"2:52pm - <b>101.23</b>","iShares Edge U.S. Fixed Income "
"FNCF",25.810,25.760,"25.964 - 26.110",3000,3000,515,200,"10:41am - <b>25.964</b>","iShares Edge MSCI Multifactor F"
"FUT",40.40,40.11,"40.12 - 40.12",500,500,267,100,"3:11pm - <b>40.12</b>","ProShares Managed Futures Strat"
"GARD",20.860,20.790,N/A,1800,500,100,N/A,"4:00pm - <b>20.697</b>","Realty Shares DIVCON Dividend G"
"GHYG",49.26,49.04,"49.12 - 49.29",3000,100,3374,147,"1:24pm - <b>49.21</b>","iShares Global High Yield Corpo"
"GSD",27.4900,27.4600,"27.4739 - 27.4739",1000,500,300,200,"3:25pm - <b>27.4739</b>","WisdomTree Global SmallCap Divi"
"HACV",26.49,26.34,N/A,300,900,2200,900,"2:27pm - <b>26.58</b>","iShares Edge MSCI Min Vol Globa"
"HCRF",26.33,26.27,N/A,1500,1500,105,N/A,"4:00pm - <b>25.92</b>","iShares Edge MSCI Multifactor H"
"HDRW",25.9300,25.9000,N/A,500,1000,100,N/A,"4:00pm - <b>25.7462</b>","WisdomTree Global ex-U.S. Hedge"
"HEFV",25.00,24.87,N/A,300,300,100,N/A,"4:00pm - <b>24.97</b>","iShares Edge MSCI Min Vol EAFE "
"HEMV",24.9100,24.7500,N/A,200,200,100,N/A,"4:00pm - <b>24.9933</b>","iShares Edge MSCI Min Vol EM Cu"
"HEUS",26.41,26.11,N/A,300,300,100,N/A,"4:00pm - <b>25.75</b>","iShares Currency Hedged MSCI Eu"
"HEUV",24.93,24.77,N/A,300,300,100,N/A,"4:00pm - <b>25.28</b>","iShares Edge MSCI Min Vol Europ"
"HGSD",21.81,21.71,"21.73 - 21.83",1000,1000,5964,100,"2:20pm - <b>21.83</b>","WisdomTree Global Hedged SmallC"
"HYHG",66.0900,65.6500,"65.7200 - 66.3432",100,100,9834,126,"3:52pm - <b>65.9812</b>","ProShares High Yield Interest R"
