Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"ALTS",38.620,38.210,"38.450 - 38.610",900,1000,4961,250,"2:43pm - <b>38.591</b>","ProShares Morningstar Alternati"
"BATS",30.41,30.39,"30.03 - 32.00",600,100,3966956,100,"3:44pm - <b>30.41</b>","BATS Global Markets, Inc. Commo"
"BEMO",25.25,25.21,"25.24 - 25.26",2300,5500,2804,1000,"3:35pm - <b>25.27</b>","Aptus Behavioral Momentum ETF"
"CEMB",52.120,50.800,"50.810 - 50.990",100,4000,4646,400,"10:23am - <b>50.985</b>","iShares Emerging Markets Corpor"
"CNDF",25.48,25.41,N/A,1500,1100,102,N/A,"4:00pm - <b>25.20</b>","iShares Edge MSCI Multifactor C"
"CNSF",24.9100,24.8500,"24.8401 - 24.8401",2500,2500,480,300,"11:16am - <b>24.8401</b>","iShares Edge MSCI Multifactor C"
"CNYA",25.68,25.63,"25.64 - 25.64",500,1100,1700,100,"1:59pm - <b>25.68</b>","iShares MSCI China A ETF"
"CSM",52.58,52.53,"52.54 - 52.75",3500,3200,12916,118,"2:57pm - <b>52.59</b>","ProShares Large Cap Core Plus"
"DDEZ",24.540,24.510,N/A,500,1000,100,N/A,"4:00pm - <b>24.895</b>","WisdomTree Dynamic Currency Hed"
"DDJP",24.1200,24.0900,N/A,500,1000,100,N/A,"4:00pm - <b>24.8099</b>","WisdomTree Dynamic Currency Hed"
"DDLS",25.88,25.85,N/A,1000,500,100,N/A,"4:00pm - <b>25.33</b>","WisdomTree Dynamic Currency Hed"
"DDWM",25.70,25.66,"25.69 - 25.87",1000,1000,11458,100,"12:56pm - <b>25.71</b>","WisdomTree Dynamic Currency Hed"
"DEFA",24.110,24.080,N/A,500,1000,100,N/A,"4:00pm - <b>24.437</b>","iShares Adaptive Currency Hedge"
"DEWJ",23.45,23.42,N/A,500,1000,100,N/A,"4:00pm - <b>23.15</b>","iShares Adaptive Currency Hedge"
"DEZU",23.06,23.03,N/A,1000,500,100,N/A,"4:00pm - <b>22.55</b>","iShares Adaptive Currency Hedge"
"DFND",22.71,22.65,N/A,2000,400,100,N/A,"4:00pm - <b>22.83</b>","Realty Shares DIVCON Dividend D"
"DVEM",27.08,26.98,"27.23 - 27.23",4500,1000,269,200,"9:30am - <b>27.23</b>","WisdomTree Emerging Markets Div"
"DYB",24.75,24.70,N/A,3500,3200,600,500,"3:20pm - <b>24.74</b>","WisdomTree Dynamic Bearish U.S."
"DYLS",27.73,27.72,"27.73 - 27.79",6500,100,8299,984,"3:43pm - <b>27.73</b>","WisdomTree Dynamic Long/Short U"
"EDEN",55.99,55.94,"55.99 - 56.19",800,900,1586,159,"11:45am - <b>56.19</b>","Ishares MSCI Denmark Capped ETF"
"EFNL",34.18,34.13,N/A,100,1100,323,100,"9:40am - <b>34.12</b>","Ishares MSCI Finland Capped ETF"
"ELKU",26.670,26.590,"26.572 - 26.682",1000,200,700,100,"1:59pm - <b>26.572</b>","Elkhorn FTSE RAFI U.S. Equity I"
"EMDV",49.69,49.49,N/A,100,200,264,100,"1:33pm - <b>49.50</b>","ProShares MSCI Emerging Markets"
"EMGF",38.1600,38.0000,N/A,100,100,100,N/A,"4:00pm - <b>38.8293</b>","iShares Edge MSCI Multifactor E"
"EMHY",50.610,50.430,"50.490 - 50.610",2600,800,3851,146,"3:21pm - <b>50.523</b>","iShares Emerging Markets High Y"
"EMIH",25.02,24.80,N/A,300,100,100,N/A,"4:00pm - <b>24.74</b>","Deutsche X-trackers Emerging Ma"
"EMSD",25.72,25.69,"25.71 - 25.77",500,1000,846,100,"3:23pm - <b>25.71</b>","WisdomTree Strong Dollar Emergi"
"EMSH",78.88,78.03,N/A,100,200,100,N/A,"4:00pm - <b>78.20</b>","ProShares Short Term USD Emergi"
"EMTL",52.78,52.45,N/A,5000,100,200,100,"9:53am - <b>52.55</b>","SPDR DoubleLine Emerging Market"
"ENOR",20.6700,20.6000,"20.5000 - 20.6848",100,200,3470,200,"3:08pm - <b>20.6501</b>","Ishares MSCI Norway Capped ETF"
"EPRF",25.31,25.30,"25.30 - 25.35",4900,200,14816,1400,"3:32pm - <b>25.35</b>","Elkhorn S&P High Quality Prefer"
