Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"AA-",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AAMC",15.50,15.14,"15.02 - 17.06",300,200,20244,100,"4:00pm - <b>15.81</b>","Altisource Asset Management Cor"
"AAU",1.41,1.40,"1.38 - 1.43",1100,700,162858,100,"4:00pm - <b>1.38</b>","Almaden Minerals, Ltd. Common S"
"ABE",12.63,12.56,"12.36 - 12.79",500,200,3947,66,"4:00pm - <b>12.62</b>","Aberdeen Emerging Markets Compa"
"ACU",22.00,21.74,"21.19 - 21.99",3200,100,4017,100,"3:59pm - <b>21.99</b>","Acme United Corporation. Common"
"ACY",9.48,8.90,"8.90 - 9.45",300,700,10242,212,"4:00pm - <b>9.14</b>","AeroCentury Corp. Common Stock"
"ADGE",0.2800,0.2622,"0.2622 - 0.2800",1000,400,6017,2942,"3:58pm - <b>0.2622</b>","American DG Energy Inc. Common "
"ADK",2.15,2.06,"2.02 - 2.10",200,5000,8610,40,"4:00pm - <b>2.07</b>","Adcare Health Systems Inc Commo"
"ADK-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AE",36.68,35.00,"34.22 - 36.03",100,200,3563,648,"4:03pm - <b>34.50</b>","Adams Resources & Energy, Inc. "
"AFCO",7.77,7.74,"7.43 - 7.79",500,100,360431,226,"4:02pm - <b>7.76</b>","American Farmland Company Commo"
"AIII",1.33,1.29,"1.20 - 1.48",100,100,121018,500,"4:00pm - <b>1.30</b>","ACRE Realty Investors, Inc. Com"
"AINC",49.95,47.10,"47.85 - 49.37",200,100,1445,100,"4:00pm - <b>49.37</b>","Ashford Inc. Common Stock"
"AIRI",4.6200,4.5500,"4.5500 - 4.6130",100,1300,2782,275,"3:05pm - <b>4.6032</b>","Air Industries Group Common Sto"
"AKG",4.18,4.17,"4.15 - 4.38",1900,1000,253950,554,"4:00pm - <b>4.17</b>","Asanko Gold Inc."
"ALN",0.63,0.62,"0.60 - 0.64",300,500,203208,500,"4:01pm - <b>0.63</b>","American Lorain Corporation Com"
"AMPE",0.8381,0.8300,"0.8030 - 0.9084",1000,2100,913275,9987,"4:02pm - <b>0.8163</b>","Ampio Pharmaceuticals, Inc."
"AMS",3.10,3.07,"3.05 - 3.15",2600,200,11958,100,"4:00pm - <b>3.09</b>","American Shared Hospital Servic"
"APHB",1.48,1.45,"1.44 - 1.55",200,3500,91066,56,"4:00pm - <b>1.44</b>","AmpliPhi Biosciences Corporatio"
"APT",3.54,3.51,"3.38 - 3.60",200,200,173075,106,"4:01pm - <b>3.51</b>","Alpha Pro Tech, Ltd. Common Sto"
"ASB",19.22,19.21,"19.19 - 19.48",10600,3300,674909,69821,"4:02pm - <b>19.21</b>","Associated Banc-Corp Common Sto"
"ASM",2.10,2.09,"2.06 - 2.20",300,200,305397,193,"4:00pm - <b>2.07</b>","Avino Silver & Gold Mines Ltd. "
"AST",4.56,4.54,"4.47 - 4.70",200,300,293284,6250,"4:00pm - <b>4.54</b>","Asterias Biotherapeutics, Inc. "
"AST",4.56,4.54,"4.47 - 4.70",200,300,293284,6250,"4:00pm - <b>4.54</b>","Asterias Biotherapeutics, Inc. "
"ATNM",2.30,2.00,"1.75 - 2.02",700,300,1530654,458,"4:02pm - <b>2.00</b>","Actinium Pharmaceuticals, Inc. "
"AUMN",0.75,0.75,"0.74 - 0.79",800,1000,268384,100,"4:00pm - <b>0.74</b>","Golden Minerals Company Common "
"AWX",2.93,2.81,"2.80 - 2.95",1500,100,2710,100,"2:20pm - <b>2.80</b>","Avalon Holdings Corporation Com"
"AXN",0.5600,0.5487,"0.5420 - 0.5699",500,100,32888,100,"4:00pm - <b>0.5668</b>","Aoxing Pharmaceutical Company, "
"AXU",1.67,1.66,"1.64 - 1.81",2200,8100,858955,2133,"4:00pm - <b>1.68</b>","Alexco Resource Corp Common Sha"
"BAA",0.3149,0.3140,"0.3125 - 0.3225",5300,224900,441988,200,"4:01pm - <b>0.3145</b>","BANRO CORPORATION Ordinary Shar"
"BCV",21.00,20.95,"20.84 - 21.12",100,700,27845,100,"4:00pm - <b>21.02</b>","Bancroft Fund, Ltd."
"BCV-A",N/A,N/A,N/A,N/A,N/A,0,N/A,"3:58pm - <b>25.30</b>",N/A
"BDL",23.70,23.10,"23.29 - 23.50",200,100,1313,199,"4:00pm - <b>23.42</b>","Flanigan's Enterprises, Inc. Co"
"BDR",0.60,0.59,"0.57 - 0.66",200,1400,23634,100,"4:00pm - <b>0.64</b>","Blonder Tongue Laboratories, In"
"BFY",17.25,17.12,"17.14 - 17.30",200,200,5155,100,"4:00pm - <b>17.15</b>","BlackRock New York Municipal In"
"BGI",1.90,1.88,"1.86 - 1.91",200,300,21904,100,"4:00pm - <b>1.90</b>","Birks Group Inc. Common Stock"
"BGSF",17.19,17.09,"16.87 - 17.48",500,100,42864,71,"4:00pm - <b>16.87</b>","BG Staffing Inc Common Stock"
"BHB",36.78,36.60,"36.41 - 36.85",100,100,6148,1560,"4:02pm - <b>36.41</b>","Bar Harbor Bankshares, Inc. Com"
"BHV",18.97,18.40,"18.51 - 18.73",500,4400,1215,1,"4:00pm - <b>18.44</b>","BlackRock Virginia Municipal Bo"
"BKJ",11.17,11.07,"11.07 - 11.17",100,200,4363,100,"4:02pm - <b>11.10</b>","Bancorp of New Jersey, Inc Comm"
"BLE",16.150,16.140,"16.060 - 16.150",500,100,45949,1,"4:00pm - <b>16.105</b>","BlackRock Municipal Income Trus"
"BLJ",17.45,17.17,"17.17 - 17.68",100,200,6520,100,"4:02pm - <b>17.17</b>","Blackrock New Jersey Municipal "
"BPMX",0.6310,0.6213,"0.6020 - 0.6800",100,2000,195249,100,"4:00pm - <b>0.6301</b>","BioPharmX Corporation. Common"
"BRG",13.54,13.52,"13.35 - 13.58",400,200,60510,5327,"4:01pm - <b>13.51</b>","Bluerock Residential Growth REI"
"BRG-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BRG-C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BRN",1.68,1.61,N/A,1400,100,0,N/A,"3:48pm - <b>1.61</b>","Barnwell Industries, Inc. Commo"
"BTG",2.90,2.89,"2.88 - 2.98",66900,65300,2127425,6229,"4:02pm - <b>2.89</b>","B2Gold Corp Common shares (Cana"
"BTI",126.95,126.88,"126.05 - 127.09",200,100,158193,1711,"4:02pm - <b>126.85</b>","British American Tobacco  Indus"
"BTN",6.74,6.70,"6.47 - 6.80",200,500,66732,100,"4:02pm - <b>6.60</b>","Ballantyne Strong, Inc. Common "
"BTX",3.98,3.97,"3.83 - 4.01",3000,4600,652677,16803,"4:00pm - <b>3.97</b>","BioTime, Inc. Common Stock"
"BTX",3.98,3.97,"3.83 - 4.01",3000,4600,652677,16803,"4:00pm - <b>3.97</b>","BioTime, Inc. Common Stock"
"BVX",4.29,4.24,"4.15 - 4.47",100,200,105545,468,"4:02pm - <b>4.28</b>","Bovie Medical Corporation Commo"
"BWL.A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BZM",16.0000,15.8200,"15.9999 - 15.9999",1400,900,2054,1000,"4:00pm - <b>15.9999</b>","BlackRock Maryland Municipal Bo"
"CANF",2.63,2.59,"2.55 - 2.69",600,100,55743,100,"4:00pm - <b>2.61</b>","Can-Fite Biopharma Ltd Sponsore"
"CAW",2.91,2.90,"2.88 - 3.00",200,500,9612,100,"3:37pm - <b>2.99</b>","CCA Industries, Inc. Common Sto"
"CCA",14.20,13.95,"13.96 - 14.31",100,200,3325,38,"4:00pm - <b>13.99</b>","MFS California Municipal Fund C"
"CCF",65.94,65.79,"64.43 - 65.95",300,500,25452,1932,"4:02pm - <b>65.83</b>","Chase Corporation Common Stock"
"CEF",14.01,14.00,"14.00 - 14.09",2100,4600,385453,400,"4:00pm - <b>14.00</b>","Central Fund of Canada Limited "
"CET",20.85,20.81,"20.69 - 20.99",100,500,90346,200,"4:02pm - <b>20.84</b>","Central Securities Corporation "
"CEV",13.94,13.93,"13.79 - 13.95",100,100,20748,100,"4:00pm - <b>13.88</b>","Eaton Vance California Municipa"
"CFD",9.04,8.90,"8.80 - 9.07",100,200,31597,100,"4:02pm - <b>8.90</b>","Nuveen Diversified Commodity Fu"
"CH",6.27,6.26,"6.24 - 6.32",400,200,24047,200,"4:02pm - <b>6.28</b>","Aberdeen Chile Fund, Inc. (The)"
"CIK",3.12,3.11,"3.09 - 3.13",200,1300,98708,220,"4:02pm - <b>3.11</b>","Credit Suisse Asset Management "
"CIX",11.69,11.45,"11.26 - 11.69",100,100,5397,359,"4:02pm - <b>11.34</b>","CompX International Inc. Common"
"CKX",11.55,11.20,"11.20 - 11.20",1000,100,2119,21,"4:00pm - <b>11.05</b>","CKX Lands, Inc. Common Stock"
"CLM",14.86,14.85,"14.77 - 14.95",500,2400,227256,100,"4:02pm - <b>14.79</b>","Cornerstone Strategic Value Fun"
"CMT",15.76,15.70,"15.59 - 15.93",100,200,83282,300,"4:02pm - <b>15.61</b>","Core Molding Technologies Inc C"
"CPHI",0.22,0.21,"0.21 - 0.22",500,7500,57271,300,"4:00pm - <b>0.21</b>","China Pharma Holdings, Inc. Com"
"CQH",21.61,21.59,"21.44 - 21.71",100,100,184324,628,"4:02pm - <b>21.59</b>","Cheniere Energy Partners LP Hol"
"CQP",29.49,26.37,"28.90 - 29.55",300,100,164794,3243,"4:02pm - <b>28.97</b>","Cheniere Energy Partners, LP Ch"
"CRF",14.43,14.41,"14.33 - 14.70",300,3400,167673,200,"4:01pm - <b>14.33</b>","Cornerstone Total Return Fund, "
"CRHM",3.96,3.94,"3.91 - 4.01",1100,900,23466,371,"4:02pm - <b>3.91</b>","CRH Medical Corporation Common "
"CRMD",2.70,2.69,"2.57 - 2.78",1100,4700,583231,211,"4:02pm - <b>2.72</b>","CorMedix Inc Common Stock"
"CRVP",1.11,0.60,N/A,200,200,4,N/A,"4:00pm - <b>0.86</b>","Crystal Rock Holdings, Inc. Cla"
"CTF",13.34,13.27,"13.21 - 13.40",300,2200,50026,500,"4:01pm - <b>13.27</b>","Nuveen Long/Short Commodity Tot"
"CTO",51.40,51.01,"51.01 - 51.60",200,100,5231,964,"4:02pm - <b>51.01</b>","Consolidated-Tomoka Land Co. Co"
"CUO",25.99,25.10,N/A,100,100,221,N/A,"4:00pm - <b>25.90</b>","Continental Materials Corporati"
"CVM",0.460,0.455,"0.415 - 0.465",700,14400,1098146,800,"4:00pm - <b>0.435</b>","Cel-Sci Corporation Common Stoc"
"CVM",0.460,0.455,"0.415 - 0.465",700,14400,1098146,800,"4:00pm - <b>0.435</b>","Cel-Sci Corporation Common Stoc"
"CVR",29.20,27.94,"28.15 - 28.15",500,100,295,140,"9:30am - <b>28.15</b>","Chicago Rivet & Machine Co. Com"
"CVRS",1.09,1.08,"1.08 - 1.15",100,3600,115844,20944,"4:02pm - <b>1.09</b>","Corindus Vascular Robotics, Inc"
